Luna Deli,Delis,,"22 W 8th StNew York, NY 10011",NY,2,11:30 am - 1:30 am
Amélie,French,Greenwich Village,"293 Van Brunt StBrooklyn, NY 11231",NY,2,Unknown
Rita,Breakfast & Brunch,Red Hook,"225 Park Ave SNew York, NY 10003",NY,2,8:00 am - 4:00 pm
Boucherie - Park,Steakhouses,"Gramercy, Flatiron","5 E 19th StNew York, NY 10003",NY,2,11:00 am - 12:00 am
Thai Villa,Thai,Flatiron,"95 1st AveNew York, NY 10003",NY,2,Unknown
Upstate,Seafood,East Village,"307 W 47th StNew York, NY 10036",NY,2,11:30 am - 11:00 pm
Dutch Freds,American (Traditional),"Theater District, Midtown West, Hell's Kitchen","224 Lafayette StNew York, NY 10012",NY,2,Unknown
Jack’s Wife Freda,Breakfast & Brunch,SoHo,"39 W 19th StNew York, NY 10011",NY,2,5:00 pm - 11:00 pm
Burger & Lobster,Seafood,Flatiron,"9 Pell StNew York, NY 10013",NY,2,Unknown
Joe’s Shanghai,Shanghainese,"Chinatown, Civic Center","760 Dean StBrooklyn, NY 11238",NY,2,11:00 am - 4:00 am
Underhill Cafe and Grill,Greek,Prospect Heights,403 W 43rd St,NY,2,Unknown
Luna Deli,Delis,Harlem,100 W Houston St,NY,2,8:30 am - 12:00 am
Bea,American (New),Midtown West,200 E 3rd St,NY,2,Unknown
Jane,Breakfast & Brunch,Greenwich Village,204 W 55th St,NY,2,11:30 am - 11:00 pm
Root & Bone,Southern,Alphabet City,956 2nd Ave,NY,2,Unknown
Tanner Smiths,Cocktail Bars,Midtown West,509 Myrtle Ave,NY,2,11:00 am - 11:00 pm
The Smith,American (Traditional),Midtown East,139 Chrystie St,NY,2,Unknown
Soco,Cajun/Creole,Clinton Hill,15 Cliff St,NY,1,4:00 pm - 11:00 pm
The Boil,Cajun/Creole,Lower East Side,15 Main St,NY,2,5:00 pm - 2:00 am
Sugar Momma,American (New),Financial District,1 Doyers St,NY,2,Unknown
Atrium Dumbo,American (Traditional),DUMBO,90 Washington St,NY,2,11:30 am - 11:00 pm
Tasty Hand-Pulled Noodles,Chinese,Chinatown,166 Smith St,NY,2,Unknown
Luna Deli,Delis,Harlem,461 W 23rd St,NY,2,11:30 am - 11:00 pm
Clinton Hall,American (New),Financial District,41-11 49th St,NY,1,Unknown
Uglyduckling,American (Traditional),Cobble Hill,524 Court St,NY,2,8:00 am - 4:00 am
Calle Dao - Chelsea,Cuban,Chelsea,106 Greenwich St,NY,2,Unknown
The Alcove,Gastropubs,Woodside,327 2nd Ave,NY,2,7:30 am - 1:00 am
Buttermilk Channel,American (New),Carroll Gardens,12-21 Astoria Blvd,NY,2,Unknown
Bao Bao Cafe,Noodles,Financial District,26 S William St,NY,2,12:00 pm - 3:30 pm5:00 pm - 11:30 pm
Midwinter Kitchen,American (New),Gramercy,108 Greenwich St,NY,2,Unknown
Arcadia Bar & Kitchen,Gastropubs,Astoria,"8140 BroadwayQueens, NY 11373",NY,2,5:00 pm - 12:00 am
Luke’s Lobster FiDi,Seafood,Financial District,"509 Amsterdam AveNew York, NY 10024",NY,2,Unknown
Suspenders,Gastropubs,Financial District,"200 W 44th StNew York, NY 10036",NY,2,6:00 pm - 11:30 pm
Luna Deli,Delis,,"9 Maiden LnNew York, NY 10038",NY,2,Unknown
Lamoon,Thai,Elmhurst,"424 E 9th StNew York, NY 10009",NY,2,11:30 am - 2:30 pm5:30 pm - 11:00 pm
Jacob’s Pickles,Comfort Food,Upper West Side,"65 Kent AveBrooklyn, NY 11249",NY,2,Unknown
Carmine’s Italian Restaurant - Times Square,Italian,"Theater District, Midtown West","68 Clinton StNew York, NY 10002",NY,2,10:30 am - 10:30 pm
The Malt House,Gastropubs,Financial District,"1075 Bergen StBrooklyn, NY 11216",NY,3,Unknown
Thursday Kitchen,Korean,"East Village, Alphabet City","156 10th AveNew York, NY 10011",NY,2,11:30 am - 2:00 am
Scriptum Brooklyn,Italian,Williamsburg - North Side,"137 Rivington StNew York, NY 10002",NY,2,Unknown
Pig and Khao,Filipino,Lower East Side,"148 Lawrence StBrooklyn, NY 11201",NY,4,11:30 am - 2:00 am
Uotora,Japanese,Crown Heights,"99 7th Ave SNew York, NY 10014",NY,4,Unknown
Cookshop,American (New),Chelsea,"178 Ludlow StNew York, NY 10002",NY,2,11:30 am - 11:00 pm
TongKatsu,Japanese,Lower East Side,"60 Furman StBrooklyn, NY 11201",NY,3,Unknown
Luna Deli,Delis,,"1 Water StBrooklyn, NY 11201",NY,3,12:00 pm - 2:00 am
Yaso Tangbao,Shanghainese,Downtown Brooklyn,"42 E 20th StNew York, NY 10003",NY,2,Unknown
Boucherie - West Village,French,West Village,"647 9th AveNew York, NY 10036",NY,2,11:30 am - 3:00 pm5:00 pm - 11:30 pm
Sweet Chick,Southern,Lower East Side,"207 2nd AveNew York, NY 10003",NY,3,Unknown
The Osprey,American (New),DUMBO,"75 9th AveNew York, NY 10011",NY,2,11:00 am - 9:00 pm
The River Café,American (New),Flatiron,"252 W 37th StNew York, NY 10018",NY,2,Unknown
Gramercy Tavern,American (New),"Midtown West, Hell's Kitchen, Theater District","114 Greenpoint AveBrooklyn, NY 11222",NY,2,11:30 am - 3:30 pm5:00 pm - 10:00 pm
OBAO,Vietnamese,East Village,"211 W BroadwayNew York, NY 10013",NY,2,Unknown
Momofuku Ssam Bar,American (New),"Meatpacking District, Chelsea","558 Broome StNew York, NY 10013",NY,2,5:00 pm - 12:00 am
Buddakan,Chinese,Midtown West,"306 Gold StBrooklyn, NY 11201",NY,3,11:00 am - 9:00 pm
District Social,Bars,,"111 South StNew York, NY 10038",NY,2,Unknown
Luna Deli,Delis,Greenpoint,"66 Water StBrooklyn, NY 11201",NY,3,11:00 am - 2:00 am
Ramen Railroad,Ramen,TriBeCa,"76 Forsyth StNew York, NY 10002",NY,2,Unknown
Distilled,American (New),South Village,"151 Mulberry StNew York, NY 10013",NY,2,11:30 am - 4:00 pm5:00 pm - 10:00 pm
La Sirene,French,Downtown Brooklyn,"35 E 18th StNew York, NY 10003",NY,2,Unknown
Menya Jiro- Brooklyn,Ramen,South Street Seaport,"174 2nd AveNew York, NY 10003",NY,2,10:00 am - 4:00 am
Fishmarket Restaurant,Seafood,DUMBO,"705 59th St, Unit A",NY,2,Unknown
Seamore’s,Seafood,Lower East Side,215 E 4th St,NY,3,11:30 am - 12:00 am
Rabbit House,Tapas Bars,Little Italy,1378 3rd Ave,NY,2,Unknown
Aunt Jake’s,Italian,Flatiron,47-46 11th St,NY,3,11:00 am - 2:00 am
ABC Kitchen,American (New),East Village,564 Dekalb Ave,NY,2,Unknown
LoveMama,Thai,Harlem,21 Ann St,NY,2,6:00 pm - 12:00 am
Luna Deli,Delis,Sunset Park,99 Park Ave,NY,2,Unknown
ChuXi Asian Cuisine,Chinese,East Village,146 Essex St,NY,2,5:30 pm - 11:30 pm
Chouchou,Moroccan,Upper East Side,Unknown,NY,2,Unknown
Tri Dim Shanghai,Shanghainese,Hunters Point,228 W 10th St,NY,3,5:00 pm - 12:00 am
Jora Restaurant & Bar,Peruvian,Bedford Stuyvesant,199 Grand St,NY,2,Unknown
Baron’s,American (New),Financial District,284 Van Brunt St,NY,2,5:00 pm - 10:00 pm
Da Claudio,Italian,Murray Hill,15 Gold St,NY,1,8:00 am - 11:00 pm
Park Avenue Tavern,Bars,Lower East Side,259 W 4th St,NY,2,Unknown
Beauty & Essex,American (New),Upper West Side,5-48 49th Ave,NY,2,12:00 pm - 2:00 am
Calle Ocho,Cuban,West Village,80 Spring St,NY,2,Unknown
L’Artusi,Italian,Little Italy,26 E 84th St,NY,3,8:00 am - 10:00 pm
Nyonya,Asian Fusion,Red Hook,13 E 37th St,NY,2,Unknown
Red Hook Lobster Pound,Seafood,Financial District,40 Bowery St,NY,2,11:00 am - 1:00 am
Felice,Italian,West Village,82 Reade St,NY,2,Unknown
Extra Virgin,Seafood,Hunters Point,65 4th Ave,NY,3,11:00 am - 2:00 am
Casa Enrique,Mexican,SoHo,43 W 46th St,NY,2,Unknown
Balthazar Restaurant,French,Upper East Side,"22 Battery Pl, Fl 2 Pier A",NY,3,11:00 am - 3:00 pm5:30 pm - 11:00 pm
Grazie,Italian,Midtown East,50 Carmine St,NY,2,Unknown
Café China,Szechuan,Chinatown,31 W 52nd St,NY,2,8:30 am - 11:30 am5:30 pm - 11:00 pm
88 Lan Zhou Handmade Noodles & Dumplings,Chinese,TriBeCa,1453 York Ave,NY,2,Unknown
1803,Cajun/Creole,East Village,377 Greenwich St,NY,2,11:30 am - 12:00 am
Ippudo East Village,Ramen,Midtown West,15 Cliff St,NY,2,Unknown
Ipanema Restaurant,Brazilian,Battery Park,590 Fulton St,NY,2,11:30 am - 12:30 am
BlackTail,Cuban,West Village,1486 2nd Ave,NY,3,Unknown
Jack’s Wife Freda,Mediterranean,Midtown West,199 Grand St,NY,2,11:30 am - 3:00 pm5:00 pm - 12:30 am
Omakasa,Japanese,Upper East Side,284 Van Brunt St,NY,2,Unknown
York Avenue Kitchen,American (Traditional),TriBeCa,15 Gold St,NY,1,5:00 pm - 1:00 am
Locanda Verde,Italian,Financial District,259 W 4th St,NY,2,Unknown
Hole in the Wall,Breakfast & Brunch,Fort Greene,5-48 49th Ave,NY,2,11:30 am - 4:00 am
Boqueria - Brooklyn,Tapas/Small Plates,Upper East Side,80 Spring St,NY,2,Unknown
Uva,Italian,Harlem,26 E 84th St,NY,3,4:00 pm - 2:00 am
Luna Deli,Delis,Little Italy,13 E 37th St,NY,2,Unknown
Nyonya,Asian Fusion,Red Hook,40 Bowery St,NY,2,5:00 pm - 11:30 pm
Red Hook Lobster Pound,Seafood,Financial District,82 Reade St,NY,2,Unknown
Felice,Italian,West Village,65 4th Ave,NY,3,11:30 am - 3:30 pm5:00 pm - 10:30 pm
Extra Virgin,Seafood,Hunters Point,43 W 46th St,NY,2,Unknown
Casa Enrique,Mexican,SoHo,"22 Battery Pl, Fl 2 Pier A",NY,3,6:00 pm - 11:30 pm
Balthazar Restaurant,French,Upper East Side,50 Carmine St,NY,2,Unknown
Grazie,Italian,Midtown East,31 W 52nd St,NY,1,12:00 pm - 11:00 pm
Café China,Szechuan,Chinatown,1453 York Ave,NY,2,Unknown
88 Lan Zhou Handmade Noodles & Dumplings,Chinese,TriBeCa,377 Greenwich St,NY,2,5:00 pm - 12:00 am
1803,Cajun/Creole,Harlem,15 Cliff St,NY,2,Unknown
Luna Deli,Delis,East Village,590 Fulton St,NY,2,11:00 am - 11:00 pm
Ippudo East Village,Ramen,Midtown West,1486 2nd Ave,NY,2,Unknown
Ipanema Restaurant,Brazilian,Battery Park,"83 Baxter StNew York, NY 10013",NY,2,12:00 pm - 3:00 pm5:30 pm - 11:30 pm
BlackTail,Cuban,West Village,"19 Old Fulton StBrooklyn, NY 11201",NY,1,Unknown
Jack’s Wife Freda,Mediterranean,Midtown West,"103 Ave BNew York, NY 10009",NY,2,11:30 am - 11:00 pm
Omakasa,Japanese,Upper East Side,"170 John StNew York, NY 10038",NY,2,Unknown
York Avenue Kitchen,American (Traditional),TriBeCa,"97 Washington StNew York, NY 10006",NY,2,12:00 pm - 12:00 am
Locanda Verde,Italian,Financial District,"525 Hudson StNew York, NY 10014",NY,3,5:30 pm - 12:00 am
Hole in the Wall,Breakfast & Brunch,Fort Greene,"188 Montrose AveBrooklyn, NY 11206",NY,2,Unknown
Boqueria - Brooklyn,Tapas/Small Plates,Upper East Side,"413 Myrtle AveBrooklyn, NY 11205",NY,3,11:45 am - 10:00 pm
Uva,Italian,,"196A Flatbush AveBrooklyn, NY 11217",NY,2,Unknown
Luna Deli,Delis,Chinatown,"13 Mott StNew York, NY 10013",NY,3,12:30 pm - 11:00 pm
Breakroom,Burgers,DUMBO,"1150 BroadwayNew York, NY 10010",NY,2,Unknown
Juliana’s Pizza,Pizza,"Alphabet City, East Village","688 10th AveNew York, NY 10019",NY,2,5:00 pm - 12:00 am
PMF Pardon My French,French,South Street Seaport,"162 5th AveBrooklyn, NY 11217",NY,2,Unknown
Trading Post,American (Traditional),Financial District,"97 Sullivan StNew York, NY 10012",NY,2,11:30 am - 3:00 pm5:00 pm - 11:00 pm
Sauce & Barrel,Bars,West Village,"233-235 Front StNew York, NY 10038",NY,2,Unknown
Flip Sigi,Filipino,East Williamsburg,"88 Madison AveNew York, NY 10016",NY,2,11:00 am - 1:00 am
The Brooklyn Tree,American (Traditional),Clinton Hill,"166 S 4th StBrooklyn, NY 11211",NY,2,Unknown
Ojala Comida Mexicana,Mexican,Prospect Heights,"8 Stone StNew York, NY 10004",NY,2,5:00 pm - 1:00 am
Dickey’s Barbecue Pit,Barbeque,"Chinatown, Civic Center","38 W 36th StNew York, NY 10018",NY,3,Unknown
Noodle Village,Chinese,,"45 W 27th StNew York, NY 10001",NY,2,3:30 pm - 11:00 pm
Luna Deli,Delis,Flatiron,"1 John StBrooklyn, NY 11201",NY,2,Unknown
The Smith,American (New),"Hell's Kitchen, Midtown West","58 E 1st StNew York, NY 10003",NY,2,5:30 pm - 12:00 am
Havana Social - Hell’s Kitchen,Cuban,Park Slope,"200 5th AveNew York, NY 10010",NY,2,Unknown
Bricolage,Vietnamese,South Village,"45 Mercer StNew York, NY 10013",NY,2,11:00 am - 12:00 am
Blue Ribbon Brasserie - SoHo,American (Traditional),South Street Seaport,"17 Prince StNew York, NY 10012",NY,2,Unknown
Kiwi Cuba,Gastropubs,Flatiron,"177 Henry StNew York, NY 10002",NY,2,12:00 pm - 10:00 pm
Scarpetta,Italian,Williamsburg - South Side,"446 Columbus AveNew York, NY 10024",NY,2,Unknown
Pies-n-Thighs,Southern,Financial District,"1411 2nd AveNew York, NY 10021",NY,3,7:30 am - 10:30 pm
Antica Ristorante,Italian,Midtown West,"1264 Myrtle AveBrooklyn, NY 11221",NY,2,Unknown
Trademark Taste & Grind,Bars,Flatiron,"200 Church StNew York, NY 10013",NY,2,12:00 pm - 12:00 am
Oscar Wilde,Cocktail Bars,,"38-40 Crescent StLong Island City, NY 11101",NY,2,Unknown
Luna Deli,Delis,DUMBO,"64 W 39th StNew York, NY 10018",NY,1,5:00 pm - 11:30 pm
